Date avis;Date fin d'expérience;Êtes-vous venu :;Verbatim public;Verbatim privé
10/01/2024;05/01/2024;Avec des jeunes enfants;Ambiance de Noël super sympa ! Jardin illuminé super.;La gestion de la distribution et la récupération des patins à glace autour de 17h30-18h le vendredi 5 janvier était catastrophique et abusée pour les  visiteurs ! C'était déjà long et d'un coup plus que 2 personnes pour assurer toutes la gestion des patins !!! Inadmissible.  <br />On a attendu plus de 40mn pour récupérer nos chaussures ! On a fini par retrouver les déserteurs à la parade... votre organisation sur ce point est clairement à revoir !
10/01/2024;06/01/2024;Avec des jeunes enfants;;Pas assez d’attractions pour les 8-12 ans. <br />Trop de manèges à sensations fortes par rapports aux autres trop « bébé » rien qui vient entre les deux  <br />
10/01/2024;04/01/2024;Avec des ados;Super parc ravis d'avoir pris le passe saison les décors de Noël magnifique ;J'espère que vous n'allez pas trop augmenter les passe saison pour que je puisse les reprendre pour la saison prochaine pour moi et mes deux enfants 
10/01/2024;05/01/2024;Avec des jeunes enfants;On a passé un bon moment au parc ,  les équipes dans l ensemble sympas sauf au restaurant où il y a eu bcp d erreur.  <br />;
10/01/2024;03/01/2024;Avec des jeunes enfants;Super parc autant pour les petits que les grands! Cadre et ambiance au top! J'y retournerai sans hésiter!!!;Super accueil, déco et atmosphère! Toute la famille a adoré!!! Merci!!!
10/01/2024;04/01/2024;En couple;Tout super !! seul bémol pour ceux qui logent à l’hôtel, prévoyez un peu d’avance car on vous redirigera avec plusieurs navettes ce qui pourra vous faire perdre 1 heure… sinon au Top;
10/01/2024;07/01/2024;Entre amis;Toujours un régal de venir au Parc Astérix. La nouvelle attraction Toutatis est tout simplement extraordinaire. On ne s’en lasse pas.  <br />Maintenant, avec Oziris, le Parc Astérix possède deux superbes montagnes russes. Mais quel contraste entre le confort et les sensations du duo Toutatis/Oziris et l’inconfort, les vibrations, les baffes et les maux de tête de l’autre duo Tonnerre 2 Zeus/Goudurix. C’est insupportable. Si vous n’avez pas le temps, passez votre chemin.  <br />Coté restauration, rien à dire. Je vous conseille le restaurant du cirque qui propose un délicieux buffet à volonté. Très bon rapport qualité/prix.;La propreté des sanitaires est à revoir, c’est sale.  <br />Également, certaines zones du parc font vieillots ou sont hors univers Astérix (rue de Paris, zone Romaine, zone Vikings, zone médiévale). Un petit coup de rafraîchissement ne ferait pas de mal.  <br />Certaines attractions font mal à la tête et sont inconfortables (Tonnerre 2 Zeus et Goudurix).  <br />Le concept du restaurant du cirque est génial mais aurait plus sa place au relais gaulois (qui mériterait un rafraîchissement également)
10/01/2024;04/01/2024;Avec des ados;;Équipes au top, merci pour ce très bon séjour. 
10/01/2024;04/01/2024;Avec des jeunes enfants;1 parc pour toute la famille, superbe ambiance de noël <br /> il est toutefois dommage que le manque de propreté du parc ternisse l'ambiance de la journée;"manque de propreté partout dans le parc, même les toilettes du restaurant ""le relai gaulois"" était dans 1 état de propreté lamentable, cela nuit à l'expérience"
10/01/2024;04/01/2024;Avec des jeunes enfants;Trop bien! Les enfants ont beaucoup aimé. Des sensations fortes de partout😬🤪🥲. <br />Et un bon restau pour se remettre 😋 <br />Bref, une bonne option lorsqu'on doit oasser toutr la journée à Paris CDG. ;
10/01/2024;05/01/2024;Avec des ados;;Parc très agréable et le personnel sympathique. Hôtel les quais de Lutèce magnifique avec un très bon rapport qualité prix! Le petit déjeuner est varié et tout y est très bon!  <br />Dans les bémols:  <br />- le parc et les chemins pour retourner à l’hôtel mériterait d’être nettement plus éclairé en fin de journée/soirée!  <br />- les boutiques dans le parc sont redondantes, il est dommage de ne pas trouver des thématiques ou offres propres à chaque boutique… ça ne donne pas envie de rentrer dans les boutiques sachant que nous allons trouver la même chose partout  <br />- on aurait apprécié avoir la possibilité de dîner au moins une fois dans un restaurant qui propose le service à table et cela même moyennant un prix plus élevé. Sur les trois restaurant des hôtels, les trois sont en buffet. <br />- Parade trop courte <br /> <br />
10/01/2024;07/01/2024;Avec des jeunes enfants;Des attractions pour tous les goûts et des spectacles de qualité !;
10/01/2024;04/01/2024;Avec des jeunes enfants;1ère fois pour nous que nous venions en famille en dehors de la elle saison en été.. et on a vraiment apprécié !! décorations de noël et le jardin du père noel au top ! pas trop de queue... on a pu bien profiter.. par contre déçu par la parade..;vos spectacles sont super ! bravo ! <br />par contre la parade très décevante.. surtout quand on connaît bien celle de disney..  <br /> mieux vaut ne pas en faire et créer un spectacle supplémentaire..
10/01/2024;06/01/2024;Entre amis;Toujours très long de passer par un guichet, que ce soit à l’accueil ou dans les point s de restauration du parc. Il est malheureusement que les détenteurs de pass annuels ne puissent pas rentrer sans faire la queue à un unique guichet alors qu’il a un code-bar qui devrait permettre de rentrer via les portiques classiques. Aussi, le parking spécial proche de l’entrée du parc évoqué dans les avantages du pass n’existe visiblement pas. En plusieurs années, je n’ai jamais été stationné au même parking, parfois dans des parkings lointains même en montrant le pass, c’est décevant. ;Dans le parc, il faudrait faire respecter les zones fumeurs, trop de gens fument partout, y compris dans les files d’attente. <br />Interdire le fait de « rejoindre des amis » dans la file d’attente serait agréable aussi. <br />Quitte à officialiser une expulsion du parc en cas de non-respect, mais c’est de l’irrespect qui coûte à tout le monde et donne une image négative du parc. <br />Oziris n’est pas entretenu sur le plan esthétique et ça se voit de plus en plus. Beaucoup de choses ne fonctionnent plus dans la file d’attente, c’est vraiment dommage.
10/01/2024;04/01/2024;Avec des jeunes enfants;Première expérience au parc Astérix, qui ne sera pas la dernière. <br />Nous avons adoré le parc, l'ambiance et les attracations. <br />Il y as de quoi satisfaire toute la famille, du plus jeune au plus grand. <br />Hâte d'y retourner...;
10/01/2024;05/01/2024;Avec des jeunes enfants;J’ai acheté un coupe fil à 105e qui n’a pas fonctionné car je n’ai jamais reçu le lien mais j’ai été débité de 105e  <br />Vol manifeste;
10/01/2024;04/01/2024;Avec des jeunes enfants;Divertissant , effrayant et sympa. <br />Un peu trop de queue pendant les vacances scolaires en semaine.;
10/01/2024;07/01/2024;Entre amis;Très bonne journée ! Surtout 5 minutes pour se faire photographier avec 3 personnages. Waouh ! Bravo !;Indiquer sur l application  ainsi que sur les restaurants les heure d ouverture et fermeture. 
10/01/2024;04/01/2024;Avec des jeunes enfants;"À part des manèges à sensations, il n'y a pas vraiment d'autres attractions. Très décevant car nous n'aimons pas vraiment cela. <br />D'autres part, vos soit disant super animations de Noël, nous les cherchons encore. Votre ""marketing"" est très bien c'est sûr, ou plutôt légèrement mensonger ... <br />Je ne parle pas de la non propreté des toilettes, ni de l'accueil de votre personnel ... c'est un métier effectivement, l'attention que nous pouvons apporter aux gens. <br />Enfin, un prix excessif ... 51 euros par tête il faut les sortir tout de même ! et la grosse carotte 🥕 si je puis dire pour le parking ... 20 de plus 😡 <br />Finalement, excessivement déçu et ce pour notre petite famille. <br />Plus pour nous, c'est certain.";"À part des manèges à sensations, il n'y a pas vraiment d'autres attractions. Très décevant car nous n'aimons pas vraiment cela. <br />D'autres part, vos soit disant super animations de Noël, nous les cherchons encore. Votre ""marketing"" est très bien c'est sûr, ou plutôt légèrement mensonger ... <br />Je ne parle pas de la non propreté des toilettes, ni de l'accueil de votre personnel ... c'est un métier effectivement, l'attention que nous pouvons apporter aux gens. <br />Enfin, un prix excessif ... 51 euros par tête il faut les sortir tout de même ! et la grosse carotte 🥕 si je puis dire pour le parking ... 20 de plus 😡 <br />Finalement, excessivement déçu et ce pour notre petite famille. <br />Plus pour nous, c'est certain."
10/01/2024;07/01/2024;Entre amis;;Bonne journée (07/01) malgré le monde <br />Dommage qu'il y ait toujours autant de weshwesh : je me suis fait voler mon pin's sanglier borgne. En plus ils fument dans les files. <br />1 train de Toutatis chez Coppel pendant le Noël Gaulois ça fait juste vu l'affluence, à voir pour l'année prochaine. <br />Parade géniale, spectacle père Noël sympa, chanson incroyable  <br />Rendez-nous les nocturnes sur le pass gold
10/01/2024;04/01/2024;Avec des ados;Nous avons passé une excellente journée en famille ;
10/01/2024;07/01/2024;Entre amis;Très bon parc d'attraction à sensations fortes. 😁😁 <br /> <br />;Manque peut-être un peu de nettoyage dans les files d'attente, mais sinon rien à dire. 
10/01/2024;07/01/2024;Avec des ados;Séjour en famille. Rien à redire, nous reviendrons. ;
10/01/2024;07/01/2024;En couple;Génial !  <br />Rajouter peut être plus de rencontres personnages différentes comme césar, Cleopatre ou d'autres personnages récurrents de la BD :-);Génial !  <br />Rajouter peut être plus de rencontres personnages différentes comme césar, Cleopatre ou d'autres personnages récurrents de la BD :-)
10/01/2024;07/01/2024;Avec des jeunes enfants;Nous adorons le parc, c’était ma 10 eme visite et la première pour ma puce de 6 ans et demi qui a été enchantée car en âge de faire un maximum d’attractions! Nous espérons y retourner aux beaux jours pour profiter aussi des attractions aquatiques!;
10/01/2024;07/01/2024;Avec des ados;;Bonjour, qqs petits points d’amélioration possibles: * l’attente à l’entrée pour ceux qui ont un pass (si on prend un pass, c’est justement pour nous faciliter l’accès au parc…) *les spectacles qu’on ne peut pas enchaîner (fin du spectacle sur glace 12h25 et même arrivée à 12h30 aux arènes pour le spectacle de 12h30, les portes étaient fermées) * et manque de points de restauration AU CHAUD par cette journée glaciale -heureusement il y avait les braseros et ça c’était super- Malgré tout, une très belle journée au parc Astérix, un parc superbement décoré pour Noël, des attractions à la hauteur, la magie opère à chaque fois qu’on vient et on reprendra sans doute un pass, merci beaucoup 😊
10/01/2024;06/01/2024;Avec des ados;Félicitations pour les décorations de Noël sur tout le parc ;C’est dommage de faire rentrer autant de visiteurs, le parc était invivable le samedi 6
10/01/2024;07/01/2024;Seul;;Venant régulièrement au Parc Asterix cette année 2023 2024, j’ai pu voir la qualité du service dégradé malgré l’augmentation des prix. Je suis venu le dernier jour de la saison et c’était catastrophique ayant l’habitude de prendre des passes philo automatique j’ai été très déçu, par l’attente que celle-ci a engendré, par la faute des opérateurs, on voyait bien que c’était leur dernière journée de travail. Il n’était plus à fond comme au début de l’année. Je ne sais pas si l’année prochaine je reprendrais un passeport annuel et même si je reviendrai sur le parc.
10/01/2024;07/01/2024;Avec des jeunes enfants;J'adore ce parc tous le monde y trouve son compte  <br />Il y en a autant pour les petits que pour les grands des manèges top et des sensations garantie merci parc asterix on reviendra sans hésiter. <br /> <br />Mme dumas;Beaucoup d'attente au point restauration, <br />Et les mascottes ne sont pas assez présente 
10/01/2024;07/01/2024;Entre amis;Parce génial attractions au top et belle occasion organisation des équipes pour les attractions ! <br />Merci a l'équipe de la maison des lutins vraiment génial !;Bonjour j'ai apprécié vos équipes particulièrement jeune mais leur language et leur professionnalisme sont encore a travailler car le langage wesh wesh c'est bien dommage, même si je trouve cela super d'engager des jeunes et je vous en félicite, seul l'équipe de la maison des lutins était exceptionnel et pro j'ai passé un super moments avec eux .
10/01/2024;07/01/2024;Entre amis;;Une meilleure organisation pour l'entrée des Pass dans le parc ( dédier un ou plusieurs cabanons par exemple ). <br />Programmer un spectacle dans le théâtre de Panoramix durant la saison de Noël. <br />Trop grande augmentation du prix des pass annuels.  <br />Très bon accueil des équipes du parc et mention spéciale aux photographes ambulants très sympathiques !  <br />Spectacles d'une grande qualité et d'un grand professionnalisme qui m'impressionnent toujours autant !  <br />J'ai beaucoup apprécié la musique originale de la parade de Noël. 
10/01/2024;30/12/2023;Entre amis;Excellente journée passée au parc Astérix! Tous les ingrédients sont réunis pour des moments mémorables : attractions, ambiance, décors! ;4 Pass premium achetés et au vu du prix, le service doit être irréprochable. Ce ne fut pas le cas… <br />Frais de parking à avancer, aucun parking dédié, uniquement des places déjà prises donc 30 minutes passées à faire la queue,  45 minutes nécessaires pour obtenir le bracelet et le pass associé, temps d’attente > 20 minutes pour certaines attractions et très dépendant des équipes présentes sur l’attraction.  <br />Pour ce qui est du repas, rien à redire, l’offre est de qualité!
10/01/2024;07/01/2024;En couple;Belle année passe au parc Astérix merci à vous . ;Juste une réorgasisation au niveau  des stands snaks: on a attendu 1h pour faire 3 stand différent car il <br />Y avais trop <br />De monde à chaque stand en faite et au final pour rien prendre , juste une crêpe <br />Qui était je pense du congelé. Dommage.sinon le reste était très bien .
10/01/2024;07/01/2024;En couple;;Il est dommage de ne pas avoir mis la pleine capacité sur des attractions comme Toutatis et Oziris, en tournants qu'à 2 trains, alors que les temps d'attente réels étaient supérieur à 50 min.
10/01/2024;04/01/2024;Avec des jeunes enfants;Je n'étais pas convaincue par l'idée d'aller au Parc Astérix en hiver mais finalement j'ai passé une superbe journée ! Les spectacles sont vraiment de qualité avec des artistes compétents ! Dommage que certains visiteurs brillent par leur incivilités.;Lors de notre visite la plupart du personnel était accueillant et souriant mais certains étaient stressants dans les attractions notamment à la strace du Hourra où on nous hurlé dessus de se dépêcher !  De plus beaucoup double dans les files d'attente, l'incivilité y est très forte. La patinoire nous y sommes restés 15 minutes car une bande de jeunes faisaient les imbéciles et c'était dangereux, l'opérateur en charge de la patinoire regardait sans rien faire alors nous sommes partis j'avais peur que ma fille se fasse rentrer dedans par l'un d'eux qui faisaient n'importe quoi.
10/01/2024;07/01/2024;En couple;Superbe journée au parc, des attractions incroyables, avec de vraies sensations fortes, toutatis et oz iris génial !!!!!  <br />Personnel, très courtois, professionnel et efficace… <br />Ça ne traîne pas pour faire monter et descendre « Les Gaulois » des attractions c’est chouette ça limite un peu l’attente… <br />Nous sommes allés au parc le 7 janvier, et nous avons fait plus de 10 attractions sur la journée… trop bien!!!! <br />À très vite par Astérix 😍;
10/01/2024;04/01/2024;Avec des ados;Excellent parc;Trop d’attente. <br />Une possibilité de s’assoir lors des files d’attente peut être bien
10/01/2024;07/01/2024;En couple;Beau parc avec toutes les attractions pour petits et grands.  <br />Nous sommes dépaysés à chaque fois ;Seul point négatif de ce magnifique parc :les temps d'attente ainsi que les personnes qui nous doublent dans les files d'attente c'est systématique 
10/01/2024;07/01/2024;En couple;Bien, simple et fluide ;Le Défi de César, vraiment pas dingue.. un écran était en panne ce qui enleve du charme à l'attraction. <br />Le Cheval de Troie, beaucoup d'attente pour un tour beaucoup plus court que les autres avant et après..  <br />Sinon le reste dingue, Toutatis plus belle attraction de ma Viiiiiiie <br />
10/01/2024;07/01/2024;Avec des jeunes enfants;Superbe parc et hôtel !! À refaire très rapidement ;
10/01/2024;07/01/2024;Entre amis;Bonjour, je suis au Parc le dernier jours d'ouverture le 7janvier.  J'ai été tres déçu par les services proposés : pas de choix de thé, pas possible d'avoir un simple macchiato noisette ou autre chose autre qu'un café ou vin chaud.. pareil pour le repas. Nous avons mangés sur place et les serveurs et cuisine ne communique pas les soucis de stock. Obligé de faire une réclamation à la caisse pour demander autre chose. Toute ses petites chose on gâché mon plaisir du parc . Malgré que l'ambiance était là le parc était très beau et les attractions sont super ainsi que oe spectacle du cirque magnifique ! Je ne reviendrai pas au parc suite à mon expérience.;Améliorez les prestations de services sur place même pour un dernier jour de parc ouvert.. 
10/01/2024;07/01/2024;Avec des ados; Bonjour, nous avons passé dans le parc Astérix à ces jours dans l’ensemble excellent. <br />Cependant, nous avons remarqué quelques petits points négatifs qui pourront vous servir à améliorer l’expérience de vos autres. <br />Nous trouvons un manque de personnel, les sanitaires à l’intérieur du parc sont très sale, et sur l’ensemble de notre week-end, nous avons trouvé qu’il y avait beaucoup trop de monde (entre une heure et plus de deux heures d’attente par attraction);
10/01/2024;07/01/2024;En couple;Le parc à beaucoup de potentiel, des thèmes sympa il est dommage que cela ne soit pas poussé au maximum. Les attractions sont variées est cela est vraiment bien. Cependant je trouve dommage que le personnel du parc soit assez désagréable, et trop « wesh wesh ». Aussi je comprends que pour un dernier jour d’ouverture avant travaux annuels que les infrastructures ainsi que le décor soit dégressif et dégradé. D’autant que le prix lui ne l’est pas. Nous payons autant qu’en début d’année où tout est beau et propre. Je pense que le parc voit uniquement par l’argent et se fiche plus ou moins des visiteurs. C’est pour cela que je ne pense pas renouveler le pass saison d’autant que les prix augmentent et que qu’en on souhaite s’exprimer en envoyant des messages au parc nous n’avons jamais de nouvel;
10/01/2024;07/01/2024;Avec des ados;Le parc est super , la diversité des attractions également,  il y en a pour tout les âges.  Le seul bémol est le prix de l'entrée ;Dommage les  prix des entrées aux parc soient excessif.  Étant maman d'une famille nombreuses  de 6 enfants cela ne nous permets pas de venir autant que l'on voudrait
10/01/2024;07/01/2024;Avec des ados;Venir voir le parc décoré pour les fetes de Noël c est magnifique ils ont une deco de fou bravo pour  votre travail ;
10/01/2024;07/01/2024;Avec des jeunes enfants;;Merci à toute l’équipe (hôtel et parc) pour ce magnifique séjour. C’était vraiment magique et une belle découverte. À bientôt. 
10/01/2024;07/01/2024;Avec des jeunes enfants;"- journée passée à attendre : beaucoup trop d'attente pour les manèges a sensations et pour la restauration  <br />- personnel des manèges peu aimables,  trop ""directifs et autoritaires""  <br />- rapport qualité/ prix de la restauration vraiment déplorable  <br /> <br />Points positifs : la restauration de la cité suspendues";
10/01/2024;04/01/2024;Avec des ados;C'était super, grandes sensations !;
10/01/2024;04/01/2024;Avec des jeunes enfants;Votre personnel n'est pas bien formé sur les filotomatix. Les dates et les possibilités n'étaient pas claires que ce soit au téléphone ou surplace. Est ce l'attraction Formulaire A38 ? <br /> <br />Nous avons acheté des pass bronzes pour 12 personnes et un passage unique pour une activité pour 12 personnes. Nous n'avons pas été en mesure d'utiliser ce dernier car l'application nous a empêchés.;Je souhaiterai être remboursé des 12 filotomatix pour une attraction unique que nous n'avons pas pu utiliser car l'application ne nous autorisaient pas.
10/01/2024;04/01/2024;Avec des jeunes enfants;"Notre première visite pendant la saison du Noël Gaulois. Les décorations et illuminations étaient magnifiques ! Notre petit d'à peine 2 ans a été émerveillé. La diversité des activités nous a permis de passer une journée agréable avec lui, loin des files d'attente. Il a fait ses premiers manèges à ""sensation"" pour les enfants et a adoré ! Nous avons choisi de manger au restaurant avec service à table pour nous réchauffer un peu, le personnel a été adorable avec bébé une fois encore et il s'est vu offrir un kit de coloriage pour passer le temps pendant que les grands finissaient de manger. Le mot de la journée c'était :""Encore !"". Ça veut tout dire quand aux beaux souvenirs qu'on en gardera.";
10/01/2024;07/01/2024;Avec des jeunes enfants;Le parc Asterix est vraiment agréable il est aussi bien pour les grands que les petits, tout le monde y trouve son compte. Plutôt impressionnée par la qualité des spectacles je dois dire.  très bon parc, je le recommande ;"Petit bémol dans l'optique d'une amélioration c'est au sein des restaurants le personnel n'est pas terrible, pas réactif, et un peu hautain. Ils servent leur ""copains"" avant. Mais enfin en même temps on fait avec ce qu'il y a de disponible sur le marché du travail."
10/01/2024;04/01/2024;Avec des jeunes enfants;Je suis fan du parc Astérix il y en a pour tous les goûts et la queue des attractions et plus ou moins raisonnable. Les petits comme les grands s’amusent et veulent y retourner comparé à d’autres parc ou en une journée on ne peut faire que 2 ou 3 attractions du à la queue!;Proposé plus de  boissons chaude il manque du thé 😀
10/01/2024;04/01/2024;Avec des ados;Parc à forte émotions et univers différents. Propre et personnel disponible. Un agréable moment en famille. ;
10/01/2024;04/01/2024;Avec des ados;Le seul point négatif est la restauration.  <br />Assez honnête use pour une qualité très médiocre . <br />Pas à la hauteur du parc qui est , pour le reste , de grande qualité ;
10/01/2024;07/01/2024;En couple;Le parc Astérix est génial.  <br />Recevoir des sensations hors du commun garantie.  <br />Le parc peut garantir des sensations différentes, comme pour les petites, comme pour les grands, il est adapté pour tout le monde. <br />Pour ma part, c’est le meilleurs parc. Vivement la réouverture en 2024.;
10/01/2024;07/01/2024;Avec des jeunes enfants;Journée au top comme toujours au parc Astérix !;
10/01/2024;03/01/2024;Avec des jeunes enfants;Très belle découverte ce parc. <br />Que du positif ++++;
10/01/2024;07/01/2024;Entre amis;;Un mauvais entretien du parc qui gâche cette super expérience. Pas de papier toilette, pas de savon (en période hivernale avec le COVID…), des restaurants qui ne proposent que la moitié de la carte parce que « c’est le dernier jour ». Et certaines attractions qui noircissent (Oziris,…).  <br />Malheureusement, on sent le manque d’implication du personnel saisonnier malgré un accueil agréable. 
10/01/2024;04/01/2024;Avec des ados;Très agréable séjour avec nos enfants et petits enfants ;
10/01/2024;07/01/2024;En couple;;La propreté et l’entretien des sanitaires est assez médiocre, voire assez calamiteuse en fin de journée. Les employés de restauration sont très désorganisés et peu encadré: on attend beaucoup!
10/01/2024;07/01/2024;En couple;;"Suite à ma visite le 07/01 (et sur toute l'année) : ambiance chaleureuse, belles décorations, spectacles super avec des danseurs et acteurs souriants et au top ! <br />Seul et gros point négatif : le personnel dans les attrations (ceux dans les boutiques sont adorables!) qui est très désagréable et parle très mal aux visiteurs toute l'année. <br />Le 07/01, nous avons utilisé le Filotomatix Or. A chaque utilisation, une attente dû aux incidents des attractions (les techniciens étaient super, comme d'habitude). Le problème était le personnel qui nous laisser planter sur place pendant que tout le monde ressortait. Aucune mesure n'a été prise. Il a envoyé balader un visiter en prenant un ton très autain. Et je cite ""on s'en bat les couilles"" de nos problèmes. Donc 3 filotomatix perdus ce jour là."
10/01/2024;07/01/2024;Avec des jeunes enfants;The atmosphere was good and we liked Christmas decorations, but since you have decided to work in the winter there should be more places to heat up. There should be a possibility to spend some time in heated room. And there should be more heated places to eat. We spent 1 hour in the queue outside waiting for pizza and then even inside in was not hot. The temperature was 2 degree.  At least there should be a possibility to buy hot drink without queue everywhere.; Take the experience from colder countries how to manage the crowd in cold weather. Heated rooms, enough hot drinks, enough hot food, avoiding queues outside at least for the food. Heaters near the queues for attractions. 
10/01/2024;07/01/2024;Avec des ados;;Attention à la sécurité dans le parc et notamment de jeunes gens mal éduqués qui organisé en bande doublent tout le monde dans les files d’attente.  Merci 
10/01/2024;07/01/2024;Avec des ados;Très heureux d’avoir passé une journée au parc. Le personnel du restaurant Le Cirque est exceptionnel et d’une gentillesse que l’on aime retrouver à chaque passage. ;
10/01/2024;07/01/2024;En couple;;Excellente journée comme souvent au parc Astérix, nous sommes détenteurs du pass premium depuis plusieurs années . Cependant toujours les mêmes soucis dans les files d'attente,manque de respect , ça double , ça fume ... Attendre 1h pour Toutatis dans le noir et le froid ce n'est déjà pas facile mais devant 4 personnes qui hurlent et fument rend l'expérience cauchemardesque . <br />Nous avons également était déçus du manque de personnel de restauration.Nous avons tenté de manger au restaurant du lac et au menhir gourmand, impossible tant l'attente est longue .Nous avons retenté le soir et la surprise ! Restaurants fermés, déçus , nous avons terminé par manger un MacDo sur l'autoroute du retour . Mise à part ces deux soucis nous avons passé une belle journée et une excellente saison . Merci à vous
10/01/2024;07/01/2024;Entre amis;;Attention au système de navettes bus depuis Roissy... Trop peu de rotation malgré une grosse attente, un personnel ultra froid... C'est la première expérience de nombreux visiteurs avec le parc et il est dommage qu'elle soit gâchée pas ça...
10/01/2024;07/01/2024;Avec des ados;   ;   
10/01/2024;04/01/2024;Avec des ados;Très belle journée!!;
10/01/2024;04/01/2024;Avec des ados;Attractions au top en matière de sensation pour goudurix, osiris et Toutatis notamment. Très belle journée en famille. 1ere fois avec les passe coupe fil! Filotomatix or franchement c'est bien pratique et aucun regret. Juste j'ai voulu les acheter la veille mais impossible je croyais que pas dispo mais bloqué qd le parc est fermé ...dommage on paye plus cher le jour même sur place....;
10/01/2024;04/01/2024;Avec des ados;Toutatis est la meilleure des attractions suivie de osiris question sensations fortes ont est servie. J'ADORE;
10/01/2024;04/01/2024;Avec des ados;Nous sommes ravis de notre séjour au sein du parc asterix. L hôtel était mieux que ce qu on imaginé très proche du parc de très propre magnifique et le parc était génial ;
10/01/2024;04/01/2024;Entre amis;Merci au personnel très agréable  <br />Super d’avoir eu des spectacles gratuits de cirque et de patin;
10/01/2024;31/12/2023;Entre amis;Le personnel est très désagréable, condescendant et malpoli…. Je comprends que ça soit de jeunes personnes / étudiants mais j’ai leur âge (21 ans) et je sais me tenir professionnelle au travail… J’ai passé un moment pénible (moqueries par les staffs du Tonnerre de Zeus, speedée par les staffs du Tootatis)… À part gâcher l’expérience client, je ne sais pas à quoi servent le manque de sérieux du personnel;Former et superviser le personnel, surtout les petits jeunes là. Je pensais vivre une expérience et être plongée dans un univers en venant au parc mais c’est comme si j’étais allé au Chicken Spot de Porte de Pantin avec le manque de sérieux et de professionnalisme du staff.  
10/01/2024;06/01/2024;Entre amis;Park de bonne qualité  <br />Préparer votre pic nique pour faire la queue;12h - 18h  <br />6h de queue pour faire 4 attraction , c'est naze .  <br />Regulez vos entrées pour qu'on puisse profiter du parc à fond.   <br /> <br />Je suis venu pour la première fois et je voulais absolument faire des manèges à sensation forte , mais ça m'a pris tout mon temps au parc.  Je n'ai clairement pas profiter des boutiques , des espaces , des spectacle . <br />  <br />Vos attractions à sensation forte sont super mais quel gachis de nous laisser poireauter entre 1h et 1h30 . On s'endort pour se faire secouer pendant 2min puis on se rendort.  <br /> <br />Bref,  coup de gueule  par ce que votre parc est cool  mais on se marche dessus , même pour boire un coup.   <br /> <br />Ah et on a fait 6h de route (allé) pour venir , sans compter le logement etc... $$ <br /> <br />J'imagine que ce commentaire n'y changera rien  <br />Bonne continuation
10/01/2024;06/01/2024;Entre amis;Un univers féerique en hiver et rafraîchissant en été ! Chaque journée passée au parc est inoubliable ! L’atmosphère et la propreté qui règnent en ces lieux n’ont rien à envier aux autres parcs ! Les attractions sont toutes plus surprenantes les unes que les autres, il y en vraiment pour tous les goûts et la sécurité est vraiment le maître mot du Parc Astérix. Tout est pensé pour que le visiteur ait des étoiles pleins les yeux et savoure chaque moment en partant à la découverte des moindres recoins de ce très chouette endroit. On aime toujours autant les petites touches d’humour qui sont la marque de fabrique d’Astérix et les décors aussi grandioses que magnifiques (dans les files d’attente mais pas que !). Passage obligé au moins une fois dans sa vie (voire une fois / mois !) 🐗🏺🎢;- SOS NUMEROBIS : proposer de payer la photo  de l’attraction avec une carte bleue car nous n’avons pas toujours de liquidités sous la main. <br />- PHOTOS : il est dommage que les numéros des photos prises lors d’attractions ne soient pas accessibles le lendemain. Lorsque l’on vient plusieurs jours consécutifs sur le parc et sur l’on a oublié en fin de journée d’imprimer des clichés, on reste frustrés. Il serait donc chouette de pouvoir récupérer nos photos mêmes plusieurs jours après leur prise. <br />- FILOTOMATIX PASS ACCESSIBILITÉ : lorsque l’on vient à 2 et que l’un est porteur de la carte handicapée et l’autre accompagnateur, il serait bien de pouvoir « diviser » l’accès aux attractions. La même personne pourrait utiliser les 2 places plutôt que d’avoir 1 place / personne.
10/01/2024;27/12/2023;Avec des jeunes enfants;Ravis de notre journée avec des enfants de 5 à 11 ans. Les petits ont aimé SOS Numérobis, l'hydre de Lerne, le film Attention Menhir, Gyrofolix. Les grands ont aimé DiscObélix, la Trace du Hourra, OzIris, Tonnerre 2 Zeus. Attention à Pégase Express : très apprécié par notre fille de 9 ans, mais notre fils de 5 ans a eu peur.;"Venus le 27/12/2023, il y avait pas mal d'attente : en effet dans plusieurs d'attractions, il n'y a qu'1 personne pour l'accès au manège : peut-être que 2 personnes seraient nécessaires. L'application smartphone n'est pas très rapide. De plus, l'appli indiquait des toilettes proches des ""Chaudrons"" mais celles-ci étaient fermées à cause de travaux et il a fallu marcher un bon moment avant d'en trouver d'autres. Concernant Pégase Express, il faudrait mieux avertir les parents de jeunes enfants : la restriction de taille à 1.05m pour les enfants accompagnés devrait être accompagnée d'un avis ""recommandé pour les + de 6 ans"" par exemple. En effet, l'attraction était décrite comme ""pour toute la famille"", donc je ne m'attendais pas à la vitesse et mon fils de 5 ans a eu peur."
09/01/2024;06/01/2024;Avec des ados;Très chouette parc!  <br />Nous avons passés de merveilleux moments en famille, comme à chaque fois !! <br />Merci à toute l'équipe du parc qui œuvre pour notre bien !;Continuez comme ça !!! <br />Un énorme merci à vous tous !
